Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,0.0,0.0,0.0,2269.15,2269.15,0
2010-01-04,2294.41,2311.15,2294.41,2308.42,2308.42,0
2010-01-05,2307.27,2313.73,2295.62,2308.71,2308.71,0
2010-01-06,2307.71,2314.07,2295.68,2301.09,2301.09,0
2010-01-07,2298.09,2301.3,2285.22,2300.05,2300.05,0
2010-01-08,2292.24,2317.6,2290.61,2317.17,2317.17,0
2010-01-11,2324.78,2326.28,2302.21,2312.41,2312.41,0
2010-01-12,2297.28,2298.85,2272.7,2282.31,2282.31,0
2010-01-13,2289.46,2313.03,2274.12,2307.9,2307.9,0
2010-01-14,2303.31,2322.56,2303.29,2316.74,2316.74,0
2010-01-15,2316.98,2322.54,2279.2,2287.99,2287.99,0
2010-01-18,0.0,0.0,0.0,2287.99,2287.99,0
2010-01-19,2291.02,2320.4,2290.68,2320.4,2320.4,0
2010-01-20,2304.31,2304.47,2268.68,2291.25,2291.25,0
2010-01-21,2298.23,2308.98,2259.82,2265.7,2265.7,0
2010-01-22,2255.76,2262.27,2200.37,2205.29,2205.29,0
2010-01-25,2220.29,2223.22,2201.17,2210.8,2210.8,0
2010-01-26,2203.44,2227.89,2195.44,2203.73,2203.73,0
2010-01-27,2200.3,2225.67,2192.59,2221.41,2221.41,0
2010-01-28,2220.31,2220.87,2166.9,2179.0,2179.0,0
2010-01-29,2198.26,2202.84,2140.34,2147.35,2147.35,0
2010-02-01,2155.81,2171.2,2152.26,2171.2,2171.2,0
2010-02-02,2171.66,2193.66,2161.47,2190.06,2190.06,0
2010-02-03,2181.01,2194.53,2176.75,2190.91,2190.91,0
2010-02-04,2176.39,2178.25,2125.43,2125.43,2125.43,0
2010-02-05,2131.92,2142.27,2100.17,2141.12,2141.12,0
2010-02-08,2140.1,2152.64,2125.11,2126.05,2126.05,0
2010-02-09,2153.1,2166.16,2132.58,2150.87,2150.87,0
2010-02-10,2147.46,2156.36,2131.08,2147.87,2147.87,0
2010-02-11,2145.09,2179.54,2134.14,2177.41,2177.41,0
2010-02-12,2157.69,2184.57,2151.99,2183.53,2183.53,0
2010-02-15,0.0,0.0,0.0,2183.53,2183.53,0
2010-02-16,2200.38,2214.19,2189.18,2214.19,2214.19,0
2010-02-17,2222.87,2226.32,2212.78,2226.29,2226.29,0
2010-02-18,2223.22,2243.5,2221.14,2241.71,2241.71,0
2010-02-19,2233.33,2249.8,2228.93,2243.87,2243.87,0
2010-02-22,2250.92,2251.68,2235.65,2242.03,2242.03,0
2010-02-23,2238.01,2239.8,2205.7,2213.44,2213.44,0
2010-02-24,2222.4,2241.69,2221.28,2235.9,2235.9,0
2010-02-25,2208.62,2236.21,2198.73,2234.22,2234.22,0
2010-02-26,2234.44,2242.83,2222.23,2238.26,2238.26,0
2010-03-01,2247.4,2274.02,2247.33,2273.57,2273.57,0
2010-03-02,2279.07,2292.49,2275.35,2280.79,2280.79,0
2010-03-03,2284.82,2293.32,2275.25,2280.68,2280.68,0
2010-03-04,2282.57,2293.16,2273.63,2292.31,2292.31,0
2010-03-05,2304.01,2327.03,2301.1,2326.35,2326.35,0
2010-03-08,2326.25,2335.43,2326.11,2332.21,2332.21,0
2010-03-09,2325.78,2353.07,2325.74,2340.68,2340.68,0
2010-03-10,2340.95,2361.66,2340.69,2358.95,2358.95,0
2010-03-11,2351.11,2368.46,2347.53,2368.46,2368.46,0
2010-03-12,2376.07,2376.28,2358.08,2367.66,2367.66,0
2010-03-15,2361.92,2367.4,2345.99,2362.21,2362.21,0
2010-03-16,2367.32,2378.84,2360.67,2378.01,2378.01,0
2010-03-17,2381.65,2400.09,2381.47,2389.09,2389.09,0
2010-03-18,2387.54,2393.87,2383.26,2391.28,2391.28,0
2010-03-19,2391.2,2396.92,2364.53,2374.41,2374.41,0
2010-03-22,2360.35,2401.21,2358.0,2395.4,2395.4,0
2010-03-23,2397.9,2416.51,2390.04,2415.24,2415.24,0
2010-03-24,2406.72,2408.64,2396.92,2398.76,2398.76,0
2010-03-25,2415.24,2432.25,2397.36,2397.41,2397.41,0
2010-03-26,2406.73,2412.92,2384.69,2395.13,2395.13,0
2010-03-29,2403.77,2411.18,2398.4,2404.36,2404.36,0
2010-03-30,2406.69,2417.36,2395.8,2410.69,2410.69,0
2010-03-31,2402.98,2415.44,2395.34,2397.96,2397.96,0
2010-04-01,2411.68,2423.43,2383.77,2402.58,2402.58,0
2010-04-02,0.0,0.0,0.0,2402.58,2402.58,0
2010-04-05,2409.48,2429.61,2403.88,2429.53,2429.53,0
2010-04-06,2420.33,2443.5,2417.77,2436.81,2436.81,0
2010-04-07,2433.1,2442.27,2418.73,2431.16,2431.16,0
2010-04-08,2423.99,2441.12,2413.74,2436.81,2436.81,0
2010-04-09,2441.31,2454.12,2432.93,2454.05,2454.05,0
2010-04-12,2455.4,2463.17,2450.15,2457.87,2457.87,0
2010-04-13,2454.95,2467.94,2445.26,2465.99,2465.99,0
2010-04-14,2481.8,2504.86,2480.43,2504.86,2504.86,0
2010-04-15,2503.41,2517.82,2502.51,2515.69,2515.69,0
2010-04-16,2505.38,2510.06,2467.68,2481.26,2481.26,0
2010-04-19,2477.8,2487.67,2451.72,2480.11,2480.11,0
2010-04-20,2492.72,2501.25,2480.7,2500.31,2500.31,0
2010-04-21,2506.61,2510.5,2490.19,2504.61,2504.61,0
2010-04-22,2483.52,2521.02,2468.26,2519.07,2519.07,0
2010-04-23,2514.85,2530.15,2507.6,2530.15,2530.15,0
2010-04-26,2529.85,2535.28,2521.51,2522.95,2522.95,0
2010-04-27,2512.58,2525.7,2466.53,2471.47,2471.47,0
2010-04-28,2483.03,2484.15,2456.63,2471.73,2471.73,0
2010-04-29,2487.33,2513.69,2483.5,2511.92,2511.92,0
2010-04-30,2509.99,2514.37,2461.09,2461.19,2461.19,0
2010-05-03,2472.32,2503.0,2472.32,2498.74,2498.74,0
2010-05-04,2465.55,2465.55,2411.28,2424.25,2424.25,0
2010-05-05,2395.21,2421.05,2382.07,2402.29,2402.29,0
2010-05-06,2391.21,2407.79,2185.75,2319.64,2319.64,0
2010-05-07,2308.71,2330.65,2228.06,2265.64,2265.64,0
2010-05-10,2365.97,2379.87,2349.4,2374.67,2374.67,0
2010-05-11,2347.7,2405.26,2345.5,2375.31,2375.31,0
2010-05-12,2388.64,2426.47,2384.69,2425.02,2425.02,0
2010-05-13,2416.36,2434.29,2387.59,2394.36,2394.36,0
2010-05-14,2373.88,2374.53,2323.63,2346.85,2346.85,0
2010-05-17,2352.77,2364.65,2304.28,2354.23,2354.23,0
2010-05-18,2372.84,2374.91,2309.22,2317.26,2317.26,0
2010-05-19,2307.78,2324.99,2270.62,2298.37,2298.37,0
2010-05-20,2245.56,2253.04,2203.5,2204.01,2204.01,0
2010-05-21,2169.58,2243.0,2165.79,2229.04,2229.04,0
2010-05-24,2220.6,2244.67,2212.37,2213.55,2213.55,0
2010-05-25,2157.45,2211.94,2140.53,2210.95,2210.95,0
2010-05-26,2226.24,2257.33,2190.44,2195.88,2195.88,0
2010-05-27,2244.82,2278.37,2239.72,2277.68,2277.68,0
2010-05-28,2275.19,2277.1,2241.52,2257.04,2257.04,0
2010-05-31,0.0,0.0,0.0,2257.04,2257.04,0
2010-06-01,2244.79,2277.39,2220.89,2222.33,2222.33,0
2010-06-02,2234.59,2281.07,2221.07,2281.07,2281.07,0
2010-06-03,2285.76,2307.47,2274.88,2303.03,2303.03,0
2010-06-04,2257.05,2278.58,2212.3,2219.17,2219.17,0
2010-06-07,2226.6,2232.89,2172.25,2173.9,2173.9,0
2010-06-08,2176.07,2183.1,2139.46,2170.57,2170.57,0
2010-06-09,2184.78,2208.65,2152.67,2158.85,2158.85,0
2010-06-10,2188.71,2219.65,2185.98,2218.71,2218.71,0
2010-06-11,2199.4,2243.6,2196.91,2243.6,2243.6,0
2010-06-14,2263.66,2278.96,2242.0,2243.96,2243.96,0
2010-06-15,2256.48,2307.98,2256.44,2305.88,2305.88,0
2010-06-16,2293.56,2317.75,2290.26,2305.93,2305.93,0
2010-06-17,2316.59,2318.27,2288.59,2307.16,2307.16,0
2010-06-18,2308.94,2321.99,2301.48,2309.8,2309.8,0
2010-06-21,2341.11,2341.11,2277.73,2289.09,2289.09,0
2010-06-22,2296.83,2313.72,2259.59,2261.8,2261.8,0
2010-06-23,2264.41,2271.74,2236.99,2254.23,2254.23,0
2010-06-24,2246.2,2247.42,2213.5,2217.42,2217.42,0
2010-06-25,2224.73,2240.88,2205.92,2223.48,2223.48,0
2010-06-28,2227.43,2241.64,2208.37,2220.65,2220.65,0
2010-06-29,2183.92,2185.3,2122.67,2135.18,2135.18,0
2010-06-30,2134.03,2153.36,2105.26,2109.24,2109.24,0
2010-07-01,2110.75,2117.94,2061.14,2101.36,2101.36,0
2010-07-02,2105.5,2110.66,2077.71,2091.79,2091.79,0
2010-07-05,0.0,0.0,0.0,2091.79,2091.79,0
2010-07-06,2122.28,2136.3,2077.77,2093.88,2093.88,0
2010-07-07,2099.66,2159.79,2098.11,2159.47,2159.47,0
2010-07-08,2174.96,2181.3,2150.19,2175.4,2175.4,0
2010-07-09,2174.2,2196.95,2170.76,2196.45,2196.45,0
2010-07-12,2194.12,2213.39,2183.52,2198.36,2198.36,0
2010-07-13,2221.25,2248.16,2212.97,2242.03,2242.03,0
2010-07-14,2246.99,2260.33,2235.15,2249.84,2249.84,0
2010-07-15,2247.76,2253.33,2218.92,2249.08,2249.08,0
2010-07-16,2231.71,2236.66,2177.51,2179.05,2179.05,0
2010-07-19,2185.81,2201.29,2171.2,2198.23,2198.23,0
2010-07-20,2165.35,2222.61,2159.95,2222.49,2222.49,0
2010-07-21,2236.13,2236.37,2183.22,2187.33,2187.33,0
2010-07-22,2216.04,2251.42,2216.04,2245.89,2245.89,0
2010-07-23,2234.34,2269.47,2227.5,2269.47,2269.47,0
2010-07-26,2271.62,2296.43,2262.96,2296.43,2296.43,0
2010-07-27,2306.62,2307.6,2280.72,2288.25,2288.25,0
2010-07-28,2284.62,2292.24,2257.76,2264.56,2264.56,0
2010-07-29,2279.07,2282.94,2228.52,2251.69,2251.69,0
2010-07-30,2227.29,2264.81,2218.61,2254.7,2254.7,0
2010-08-02,2283.32,2299.24,2274.27,2295.36,2295.36,0
2010-08-03,2291.75,2295.03,2272.33,2283.52,2283.52,0
2010-08-04,2291.09,2305.07,2283.21,2303.57,2303.57,0
2010-08-05,2291.22,2298.86,2281.68,2293.06,2293.06,0
2010-08-06,2267.42,2291.15,2253.92,2288.47,2288.47,0
2010-08-09,2298.81,2309.43,2289.03,2305.69,2305.69,0
2010-08-10,2280.06,2290.51,2261.5,2277.17,2277.17,0
2010-08-11,2236.93,2236.93,2204.94,2208.63,2208.63,0
2010-08-12,2164.64,2197.97,2163.07,2190.27,2190.27,0
2010-08-13,2183.09,2190.27,2173.48,2173.48,2173.48,0
2010-08-16,2161.31,2193.84,2155.66,2181.87,2181.87,0
2010-08-17,2197.09,2225.08,2193.42,2209.44,2209.44,0
2010-08-18,2205.3,2228.9,2196.11,2215.7,2215.7,0
2010-08-19,2204.8,2211.73,2168.74,2178.95,2178.95,0
2010-08-20,2172.26,2182.67,2159.54,2179.76,2179.76,0
2010-08-23,2188.34,2200.52,2159.44,2159.63,2159.63,0
2010-08-24,2131.0,2144.2,2113.71,2123.76,2123.76,0
2010-08-25,2109.15,2148.35,2102.26,2141.54,2141.54,0
2010-08-26,2148.49,2154.32,2116.82,2118.69,2118.69,0
2010-08-27,2134.16,2154.99,2099.29,2153.63,2153.63,0
2010-08-30,2145.76,2154.47,2119.93,2119.97,2119.97,0
2010-08-31,2109.76,2128.9,2101.52,2114.03,2114.03,0
2010-09-01,2142.75,2177.5,2141.95,2176.84,2176.84,0
2010-09-02,2178.99,2200.01,2173.71,2200.01,2200.01,0
2010-09-03,2227.96,2235.57,2213.56,2233.75,2233.75,0
2010-09-06,0.0,0.0,0.0,2233.75,2233.75,0
2010-09-07,2227.26,2231.28,2206.62,2208.89,2208.89,0
2010-09-08,2216.07,2237.42,2215.9,2228.87,2228.87,0
2010-09-09,2251.09,2251.98,2229.8,2236.2,2236.2,0
2010-09-10,2239.08,2246.6,2229.12,2242.48,2242.48,0
2010-09-13,2263.8,2289.49,2263.69,2285.71,2285.71,0
2010-09-14,2281.31,2302.57,2274.57,2289.77,2289.77,0
2010-09-15,2283.17,2304.6,2276.32,2301.32,2301.32,0
2010-09-16,2297.51,2304.95,2288.71,2303.25,2303.25,0
2010-09-17,2318.42,2320.37,2301.82,2315.61,2315.61,0
2010-09-20,2322.8,2358.9,2317.89,2355.83,2355.83,0
2010-09-21,2355.27,2366.76,2341.82,2349.35,2349.35,0
2010-09-22,2339.91,2355.91,2323.55,2334.55,2334.55,0
2010-09-23,2316.71,2353.79,2316.11,2327.08,2327.08,0
2010-09-24,2356.26,2381.22,2353.5,2381.22,2381.22,0
2010-09-27,2379.73,2386.01,2368.65,2369.77,2369.77,0
2010-09-28,2373.13,2383.67,2339.5,2379.59,2379.59,0
2010-09-29,2372.37,2382.15,2366.19,2376.56,2376.56,0
2010-09-30,2390.96,2400.06,2354.22,2368.62,2368.62,0
2010-10-01,2386.82,2389.45,2359.32,2370.75,2370.75,0
2010-10-04,2362.25,2370.87,2332.46,2344.52,2344.52,0
2010-10-05,2368.52,2402.42,2366.06,2399.83,2399.83,0
2010-10-06,2395.16,2399.13,2368.43,2380.66,2380.66,0
2010-10-07,2391.63,2392.74,2368.25,2383.67,2383.67,0
2010-10-08,2384.76,2406.67,2370.53,2401.91,2401.91,0
2010-10-11,2403.46,2413.03,2397.57,2402.33,2402.33,0
2010-10-12,2397.7,2421.79,2379.39,2417.92,2417.92,0
2010-10-13,2432.55,2452.54,2426.52,2441.23,2441.23,0
2010-10-14,2441.21,2445.85,2422.07,2435.38,2435.38,0
2010-10-15,2461.7,2468.77,2438.03,2468.77,2468.77,0
2010-10-18,2470.12,2480.95,2462.55,2480.66,2480.66,0
2010-10-19,2442.21,2480.95,2422.14,2436.95,2436.95,0
2010-10-20,2443.2,2469.72,2441.07,2457.39,2457.39,0
