Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,0.0,0.0,0.0,1860.31,1860.31,0
2010-01-04,1882.69,1890.02,1881.63,1886.7,1886.7,0
2010-01-05,1887.28,1891.33,1877.52,1888.43,1888.43,0
2010-01-06,1887.91,1893.21,1873.9,1878.42,1878.42,0
2010-01-07,1878.16,1881.33,1867.62,1876.72,1876.72,0
2010-01-08,1870.9,1893.25,1868.55,1892.59,1892.59,0
2010-01-11,1896.05,1897.49,1876.25,1886.24,1886.24,0
2010-01-12,1874.75,1876.37,1852.31,1861.79,1861.79,0
2010-01-13,1868.2,1890.81,1855.27,1886.13,1886.13,0
2010-01-14,1880.46,1891.73,1880.35,1886.52,1886.52,0
2010-01-15,1887.31,1893.48,1857.11,1864.52,1864.52,0
2010-01-18,0.0,0.0,0.0,1864.52,1864.52,0
2010-01-19,1869.24,1896.54,1868.83,1895.48,1895.48,0
2010-01-20,1882.06,1882.31,1848.09,1867.95,1867.95,0
2010-01-21,1874.54,1885.01,1842.86,1850.57,1850.57,0
2010-01-22,1842.11,1849.21,1791.4,1794.82,1794.82,0
2010-01-25,1806.6,1813.65,1794.68,1802.39,1802.39,0
2010-01-26,1798.36,1825.95,1792.04,1803.86,1803.86,0
2010-01-27,1801.67,1823.8,1790.1,1818.9,1818.9,0
2010-01-28,1805.64,1805.85,1762.1,1771.1,1771.1,0
2010-01-29,1787.14,1789.93,1734.03,1741.04,1741.04,0
2010-02-01,1745.91,1760.72,1744.26,1760.72,1760.72,0
2010-02-02,1760.65,1780.17,1750.39,1776.92,1776.92,0
2010-02-03,1767.14,1787.89,1766.6,1784.7,1784.7,0
2010-02-04,1771.78,1775.37,1732.99,1732.99,1732.99,0
2010-02-05,1739.19,1748.77,1712.89,1746.12,1746.12,0
2010-02-08,1744.02,1755.65,1734.12,1734.88,1734.88,0
2010-02-09,1756.28,1768.58,1739.24,1753.84,1753.84,0
2010-02-10,1752.46,1760.61,1738.46,1749.76,1749.76,0
2010-02-11,1747.55,1780.05,1739.02,1775.74,1775.74,0
2010-02-12,1761.29,1783.7,1756.65,1779.11,1779.11,0
2010-02-15,0.0,0.0,0.0,1779.11,1779.11,0
2010-02-16,1792.9,1802.48,1782.73,1802.06,1802.06,0
2010-02-17,1808.55,1811.2,1799.25,1810.86,1810.86,0
2010-02-18,1809.01,1825.82,1806.76,1823.39,1823.39,0
2010-02-19,1816.94,1830.38,1813.08,1823.32,1823.32,0
2010-02-22,1828.69,1829.18,1811.52,1817.63,1817.63,0
2010-02-23,1815.43,1817.96,1786.46,1793.82,1793.82,0
2010-02-24,1803.29,1819.5,1801.04,1812.51,1812.51,0
2010-02-25,1791.15,1815.94,1781.12,1812.91,1812.91,0
2010-02-26,1812.24,1822.2,1804.09,1818.68,1818.68,0
2010-03-01,1826.62,1848.1,1826.61,1846.4,1846.4,0
2010-03-02,1851.79,1862.64,1847.03,1851.21,1851.21,0
2010-03-03,1854.71,1861.15,1846.22,1851.57,1851.57,0
2010-03-04,1852.7,1860.76,1844.92,1859.72,1859.72,0
2010-03-05,1871.62,1889.68,1869.1,1888.56,1888.56,0
2010-03-08,1888.04,1894.75,1887.66,1890.89,1890.89,0
2010-03-09,1885.99,1911.38,1885.99,1901.38,1901.38,0
